"product";"rep";"subject";"descriptor";"start";"score";"duration";"stop";"sequenceStart";"sequenceStop";"sequenceDuration";"stdStart";"stdDuration";"stdStop"
"C4";"1";"A88";"Bland";10;1;3.564;14;1.781;14.052;12.271;0.71;0.25;0.96
"C4";"1";"A89";"Bland";3;1;2.368;5;1.055;22.964;21.909;0.13;0.1;0.23
"C4";"1";"A89";"Potato";5;1;2.969;8;1.055;22.964;21.909;0.22;0.13;0.35
"C4";"1";"A89";"Fat";8;1;6.775;15;1.055;22.964;21.909;0.35;0.3;0.65
"C4";"1";"A89";"Fat";1;1;2.032;3;1.055;22.964;21.909;0.04;0.09;0.13
"C4";"1";"A89";"Fat";19;1;3.765;23;1.055;22.964;21.909;0.83;0.16;0.99
"C4";"1";"A89";"Bland";15;1;4;19;1.055;22.964;21.909;0.65;0.17;0.82
"C4";"1";"A90";"Bland";6;1;2.9;9;6.219;24.365;18.146;0.25;0.12;0.37
"C4";"1";"A90";"Sticky_Pasty";9;1;10.15;19;6.219;24.365;18.146;0.37;0.42;0.79
"C4";"1";"A90";"Potato";19;1;5.096;24;6.219;24.365;18.146;0.78;0.21;0.99
"C4";"1";"A91";"Melting";11;1;2.646;14;6.415;13.814;7.399;0.8;0.19;0.99
"C4";"1";"A91";"Bland";6;1;1.448;8;6.415;13.814;7.399;0.43;0.1;0.53
"C4";"1";"A91";"Potato";8;1;3.305;11;6.415;13.814;7.399;0.58;0.24;0.82
"C4";"1";"A92";"Bland";17;1;3.025;20;16.707;23.153;6.446;0.73;0.13;0.86
"C4";"1";"A92";"Crackly_Hard";20;1;3.421;23;16.707;23.153;6.446;0.86;0.15;1.01
"C4";"1";"A93";"Crispy";10;1;3.183;13;9.878;22.111;12.233;0.45;0.14;0.59
"C4";"1";"A93";"Bland";21;1;1.212;22;9.878;22.111;12.233;0.95;0.05;1
"C4";"1";"A93";"Bland";13;1;4.135;17;9.878;22.111;12.233;0.59;0.19;0.78
"C4";"1";"A93";"Sticky_Pasty";17;1;3.703;21;9.878;22.111;12.233;0.77;0.17;0.94
"C4";"1";"A94";"Bland";5;1;28.291;33;4.581;44.444;39.863;0.11;0.64;0.75
"C4";"1";"A94";"Crispy";33;1;8.16;41;4.581;44.444;39.863;0.74;0.18;0.92
"C4";"1";"A94";"Bland";41;1;3.41200000000001;44;4.581;44.444;39.863;0.92;0.08;1
"C4";"1";"A95";"Salty";13;1;1.027;14;8.61;16.888;8.278;0.77;0.06;0.83
"C4";"1";"A95";"Fat";14;1;1.266;16;8.61;16.888;8.278;0.83;0.07;0.9
"C4";"1";"A95";"Melting";9;1;3.134;12;8.61;16.888;8.278;0.53;0.19;0.72
"C4";"1";"A95";"Bland";12;1;1.691;13;8.61;16.888;8.278;0.71;0.1;0.81
"C4";"1";"A95";"Potato";16;1;1.16;17;8.61;16.888;8.278;0.95;0.07;1.02
